,年化收益率,季度胜率,夏普比率,卡玛比率,参数
绩效数据,-0.017478833982447095,0.5,-0.26082793730459736,-0.026618305795163923,cmo_length: 200; m_length: 120
绩效数据,-0.01892810740163564,0.47619047619047616,-0.2674982327180137,-0.0267354919446847,cmo_length: 200; m_length: 125
绩效数据,-0.01981524906217602,0.47619047619047616,-0.2716218420853443,-0.028568185468416826,cmo_length: 200; m_length: 130
绩效数据,-0.026493667941027477,0.47619047619047616,-0.30200782173008095,-0.038407209738823896,cmo_length: 200; m_length: 135
绩效数据,-0.01918207109792469,0.47619047619047616,-0.26883382048150534,-0.028226606215475073,cmo_length: 200; m_length: 140
绩效数据,-0.008974885387417753,0.47619047619047616,-0.22247673650707098,-0.013428988325937113,cmo_length: 200; m_length: 145
绩效数据,-0.024726649102839948,0.4523809523809524,-0.2940808977914755,-0.03380827158380186,cmo_length: 200; m_length: 150
绩效数据,-0.03380889995591885,0.47619047619047616,-0.33541690582353056,-0.044491408364283086,cmo_length: 200; m_length: 155
绩效数据,-0.04512012275581012,0.4523809523809524,-0.3868782804407428,-0.05802405103513147,cmo_length: 200; m_length: 160
绩效数据,-0.06097233899623489,0.4523809523809524,-0.4590371331735935,-0.07706740247230406,cmo_length: 200; m_length: 165
绩效数据,-0.05018801479214707,0.4523809523809524,-0.4100613871785434,-0.0661958904195228,cmo_length: 200; m_length: 170
绩效数据,-0.05048814764879628,0.4523809523809524,-0.4114803619755877,-0.06634469707760106,cmo_length: 200; m_length: 175
绩效数据,-0.055309729413885345,0.47619047619047616,-0.4334581633362116,-0.0726675684608398,cmo_length: 200; m_length: 180
绩效数据,-0.055812419494657206,0.47619047619047616,-0.4357916690172564,-0.07294156261689365,cmo_length: 200; m_length: 185
绩效数据,-0.04896546394681334,0.47619047619047616,-0.40514714596332957,-0.06426877772772549,cmo_length: 200; m_length: 190
绩效数据,-0.06205355296535264,0.47619047619047616,-0.46497596570068916,-0.08056821130182112,cmo_length: 200; m_length: 195
绩效数据,-0.0683175740875186,0.47619047619047616,-0.4936558605819279,-0.08614745163455542,cmo_length: 200; m_length: 200
绩效数据,-0.0628270214883685,0.42857142857142855,-0.4686846945676073,-0.07977381660974986,cmo_length: 200; m_length: 205
绩效数据,-0.054990535325473155,0.42857142857142855,-0.4329992549772748,-0.07139725034630984,cmo_length: 200; m_length: 210
绩效数据,-0.056046998465204334,0.4523809523809524,-0.437875931750732,-0.07079502652357918,cmo_length: 200; m_length: 215
绩效数据,-0.05199395950181607,0.40476190476190477,-0.4198126449652073,-0.06720820959487776,cmo_length: 200; m_length: 220
绩效数据,-0.06384469595669351,0.38095238095238093,-0.4746265913655537,-0.08052464627026672,cmo_length: 200; m_length: 225
绩效数据,-0.05788811141087513,0.38095238095238093,-0.44761203320970605,-0.07392531044830596,cmo_length: 200; m_length: 230
绩效数据,-0.06548095260488995,0.38095238095238093,-0.48365457612831547,-0.08444796915366055,cmo_length: 200; m_length: 235
绩效数据,0.034549035716451515,0.5714285714285714,-0.024573803603655305,0.08849302744441462,cmo_length: 205; m_length: 5
绩效数据,0.04363378952001851,0.5714285714285714,0.01639061570621169,0.07325735059772709,cmo_length: 205; m_length: 10
